,success,reason,experiment,wall_time
0,True,success,mpich,7.0
1,True,success,mpich,7.0
2,True,success,mpich,8.0
3,True,success,mpich,7.0
4,True,success,mpich,7.0
5,True,success,mpich,7.0
6,True,success,mpich,7.0
7,True,success,mpich,8.0
8,True,success,mpich,7.0
9,True,success,mpich,7.0
10,True,success,mpich,7.0
11,True,success,mpich,7.0
12,True,success,mpich,7.0
13,True,success,mpich,7.0
14,True,success,mpich,7.0
15,True,success,mpich,7.0
16,True,success,mpich,7.0
17,True,success,mpich,8.0
18,True,success,mpich,7.0
19,True,success,mpich,7.0
20,True,success,mpich,7.0
21,True,success,mpich,7.0
22,True,success,mpich,7.0
23,True,success,mpich,7.0
24,True,success,mpich,7.0
25,True,success,mpich,7.0
26,True,success,mpich,7.0
27,True,success,mpich,7.0
28,True,success,mpich,7.0
29,True,success,mpich,8.0
30,False,missing gpu,platform-version,
31,True,success,platform-version,7.0
32,False,missing gpu,platform-version,
33,False,missing gpu,platform-version,
34,False,mpi error,platform-version,
35,True,success,platform-version,7.0
36,False,missing gpu,platform-version,
37,True,success,platform-version,7.0
38,True,success,platform-version,7.0
39,True,success,platform-version,7.0
40,True,success,platform-version,7.0
41,True,success,platform-version,7.0
42,True,success,platform-version,7.0
43,True,success,platform-version,7.0
44,False,missing gpu,platform-version,
45,True,success,platform-version,7.0
46,True,success,platform-version,7.0
47,False,mpi error,platform-version,
48,False,missing gpu,platform-version,
49,False,missing gpu,platform-version,
50,False,missing gpu,platform-version,
51,False,mpi error,platform-version,
52,True,success,platform-version,7.0
53,True,success,platform-version,7.0
54,False,missing gpu,platform-version,
55,True,success,platform-version,7.0
56,False,missing gpu,platform-version,
57,False,missing gpu,platform-version,
58,True,success,platform-version,7.0
59,True,success,platform-version,7.0
60,True,success,intel-mpi,11.0
61,True,success,intel-mpi,11.0
62,True,success,intel-mpi,7.0
63,True,success,intel-mpi,7.0
64,True,success,intel-mpi,11.0
65,True,success,intel-mpi,7.0
66,True,success,intel-mpi,11.0
67,True,success,intel-mpi,7.0
68,True,success,intel-mpi,7.0
69,True,success,intel-mpi,7.0
70,True,success,intel-mpi,7.0
71,True,success,intel-mpi,11.0
72,True,success,intel-mpi,11.0
73,True,success,intel-mpi,7.0
74,True,success,intel-mpi,11.0
75,True,success,intel-mpi,7.0
76,True,success,intel-mpi,7.0
77,True,success,intel-mpi,7.0
78,True,success,intel-mpi,7.0
79,True,success,intel-mpi,7.0
80,True,success,intel-mpi,11.0
81,True,success,intel-mpi,7.0
82,True,success,intel-mpi,7.0
83,True,success,intel-mpi,11.0
84,True,success,intel-mpi,7.0
85,True,success,intel-mpi,11.0
86,True,success,intel-mpi,11.0
87,True,success,intel-mpi,11.0
88,True,success,intel-mpi,7.0
89,True,success,intel-mpi,11.0
90,False,os abi issue,pull,
91,True,success,pull,7.0
92,False,os abi issue,pull,
93,False,os abi issue,pull,
94,False,os abi issue,pull,
95,False,os abi issue,pull,
96,True,success,pull,7.0
97,True,success,pull,7.0
98,False,os abi issue,pull,
99,False,os abi issue,pull,
100,False,os abi issue,pull,
101,False,os abi issue,pull,
102,False,os abi issue,pull,
103,False,os abi issue,pull,
104,False,os abi issue,pull,
105,False,os abi issue,pull,
106,False,os abi issue,pull,
107,False,os abi issue,pull,
108,True,success,pull,7.0
109,False,os abi issue,pull,
110,True,success,pull,7.0
111,True,success,pull,7.0
112,False,os abi issue,pull,
113,False,os abi issue,pull,
114,True,success,pull,7.0
115,False,os abi issue,pull,
116,False,os abi issue,pull,
117,False,os abi issue,pull,
118,False,os abi issue,pull,
119,False,os abi issue,pull,
120,False,os abi issue,basic,
121,False,os abi issue,basic,
122,False,os abi issue,basic,
123,False,missing gpu,basic,
124,True,success,basic,7.0
125,True,success,basic,7.0
126,False,missing gpu,basic,
127,False,os abi issue,basic,
128,False,os abi issue,basic,
129,False,os abi issue,basic,
130,False,os abi issue,basic,
131,True,success,basic,7.0
132,True,success,basic,7.0
133,False,os abi issue,basic,
134,False,missing gpu,basic,
135,False,missing gpu,basic,
136,False,os abi issue,basic,
137,False,os abi issue,basic,
138,False,os abi issue,basic,
139,False,os abi issue,basic,
140,False,os abi issue,basic,
141,True,success,basic,7.0
142,False,os abi issue,basic,
143,True,success,basic,7.0
144,True,success,basic,7.0
145,False,os abi issue,basic,
146,False,os abi issue,basic,
147,False,os abi issue,basic,
148,False,os abi issue,basic,
149,False,missing gpu,basic,
150,True,success,openmpi,7.0
151,True,success,openmpi,7.0
152,True,success,openmpi,7.0
153,True,success,openmpi,7.0
154,True,success,openmpi,7.0
155,True,success,openmpi,7.0
156,True,success,openmpi,7.0
157,True,success,openmpi,7.0
158,True,success,openmpi,7.0
159,True,success,openmpi,7.0
160,True,success,openmpi,7.0
161,True,success,openmpi,7.0
162,True,success,openmpi,7.0
163,True,success,openmpi,7.0
164,True,success,openmpi,7.0
165,True,success,openmpi,7.0
166,True,success,openmpi,7.0
167,True,success,openmpi,7.0
168,True,success,openmpi,7.0
169,True,success,openmpi,7.0
170,True,success,openmpi,7.0
171,True,success,openmpi,7.0
172,True,success,openmpi,7.0
173,True,success,openmpi,7.0
174,True,success,openmpi,7.0
175,True,success,openmpi,7.0
176,True,success,openmpi,7.0
177,True,success,openmpi,7.0
178,True,success,openmpi,7.0
179,True,success,openmpi,7.0
180,False,missing gpu,test,
181,True,success,test,7.0
182,False,os abi issue,test,
183,True,success,test,7.0
184,False,os abi issue,test,
185,False,missing gpu,test,
186,False,os abi issue,test,
187,False,os abi issue,test,
188,True,success,test,7.0
189,True,success,test,7.0
190,True,success,test,7.0
191,True,success,test,7.0
192,True,success,test,7.0
193,False,os abi issue,test,
194,False,os abi issue,test,
195,False,os abi issue,test,
196,False,os abi issue,test,
197,False,os abi issue,test,
198,False,os abi issue,test,
199,False,os abi issue,test,
200,False,os abi issue,test,
201,False,os abi issue,test,
202,True,success,test,7.0
203,False,os abi issue,test,
204,True,success,test,7.0
205,False,os abi issue,test,
